Diameter,HMag,Albedo,Density,Strength,Alpha,Velocity,Angle,Azimuth, Latitude,Longitude,LumEff,Ablation,Altitude,GroundE,BlastRad1,BlastRad2,BlastRad4,BlastRad10,ThermRad2,ThermRad3,ThermRad4,ThermRad6,BlastPop1,BlastPop2,BlastPop4,BlastPop10,ThermPop2,ThermPop3,ThermPop4,ThermPop6,TsuWet,TsuCas,GlobalCas
34.26,24.3407,0.2749,2836.09,218500.0,0.2724,14208.0,48.46,86.65,-25.5016,-172.87,0.003027,4.514e-10,23080.0,1.96554e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245.72,20.0568,0.0108,1833.61,2624000.0,0.2339,13315.0,18.89,248.27,-15.0561,-124.28,0.004794,4.018e-08,4950.0,2082.24,392720.0,215884.0,123183.0,65619.1,293394.0,226337.0,160006.0,133843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21459.0,64.3069,0.0
23.25,26.959,0.0535,2062.13,131600.0,0.1975,22038.0,67.19,313.9,22.6347,-98.9978,0.01401,1.464e-09,27820.0,2.49348e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384.04,22.0041,0.0188,1860.95,155800.0,0.2722,14029.0,23.64,192.42,5.44074,-10.5148,0.003211,7.77e-10,9120.0,5.01604,263102.0,104084.0,58819.2,29414.4,57256.1,43791.3,30286.2,24842.0,4370040.0,926273.0,0.0,0.0,0.0,0.0,0.0,0.0,755411.0,2676.86,0.0
3.2,29.4806,0.2767,2920.64,7136000.0,0.1158,19288.0,44.07,2.39,-74.9882,-173.694,0.024,3.058e-09,28250.0,1.36218e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.59,25.1152,0.0872,3085.54,239700.0,0.1989,22163.0,27.14,331.23,9.55413,-58.7523,0.002481,4.593e-08,33540.0,1.70339e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.19,21.6985,0.0874,2204.18,150100.0,0.1932,11755.0,50.98,171.63,-11.0011,6.5585,0.002623,3.525e-09,8810.0,0.807033,148704.0,83646.2,52718.3,22286.7,20340.3,14657.8,8283.54,4974.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.27,24.4868,0.2268,2001.19,615600.0,0.1677,25716.0,31.25,215.46,-55.1282,-4.4604,0.01024,2.566e-08,34620.0,1.3673e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276.07,22.5271,0.0225,1461.94,211400.0,0.2559,17368.0,36.78,39.39,-2.97835,-88.0338,0.0004952,4.157e-08,18610.0,5.40708e-07,169757.0,112801.0,68723.5,27268.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.1,23.6552,0.0234,1730.23,5650000.0,0.2251,12971.0,84.53,250.08,71.4378,-177.072,0.008906,1.308e-09,10280.0,0.323818,114164.0,57444.0,33950.6,12929.0,27781.8,20411.9,12469.3,8782.67,213.29,57.6001,7.06325,0.0,0.627435,0.0,0.0,0.0,0.0,0.0,0.0
4.24,29.0188,0.241,2139.99,4235000.0,0.1692,14010.0,45.26,5.07,-9.8932,-34.9054,0.0185,3.791e-08,28250.0,6.66423e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.78,23.4062,0.0236,2624.74,296500.0,0.1535,17534.0,30.6,241.33,64.1843,69.7585,0.002296,1.254e-08,16300.0,0.000242996,108077.0,86895.2,52353.2,20230.8,20745.5,12191.6,0.0,0.0,73679.9,49937.0,21662.5,4357.42,4327.54,1539.34,0.0,0.0,0.0,0.0,0.0
198.95,22.1064,0.0638,4149.42,1160000.0,0.2123,21998.0,16.97,169.89,-23.3315,132.002,0.002678,3.98e-09,14670.0,0.0054112,274627.0,151059.0,86992.7,35933.1,44950.1,33400.3,21217.6,15829.3,40046.9,3958.86,1232.55,760.293,802.375,748.256,704.145,66.3047,0.0,0.0,0.0
4.81,28.4116,0.3285,1719.44,5561000.0,0.2754,35708.0,50.45,278.27,-62.437,25.7581,0.02912,2.125e-09,34980.0,9.14021e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.45,22.8439,0.1089,2369.3,130800.0,0.1537,14627.0,58.83,220.31,-19.5818,-14.8324,0.001444,9.042e-09,15380.0,0.000114162,51987.9,35842.4,17298.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.28,27.7966,0.036,2201.36,3574000.0,0.1352,27992.0,18.65,116.54,-42.6792,39.7757,0.0009094,3.551e-09,33670.0,5.77822e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.11,27.799,0.3572,1800.91,4483000.0,0.2272,15124.0,15.4,302.84,-29.8404,160.83,0.0005324,2.001e-09,28760.0,8.08757e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.99,29.9281,0.0232,2212.09,1040000.0,0.1667,16522.0,55.72,36.76,3.83751,71.263,0.01987,5.375e-10,33060.0,2.20138e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
